id,Sucursal,internal_id,is_local,caja,cuser,out_of_time,Creación de orden,Proceso de orden,Entrega de orden,Orden cancelada,Hora deseada,Usuario,Estatus,Tipo de pago,total,stars,review,coupon,Sub tipo de pago,pc_id,status_id,Id cajero,crname,pay_id,Usuario subsidio/Meal plan,Nómina,ceco,Platillos,Ingredientes,description
73000028,Burritos & Tortas Campus,29,0,1,Miguel,,10:03:00 01-02-2025,10:11:00 01-02-2025,10:17:00 01-02-2025,,,,Entregada,Efectivo,122.09,4,,,,1,4,5054,,3,,,,Torta de Milanesa Estandar 4 $0.00,Aguacate $0.00,
73000029,Burritos & Tortas Campus,30,0,0,Miguel,,18:23:00 11-02-2025,18:28:00 11-02-2025,18:32:00 11-02-2025,,,,Entregada,Tarjeta,241.39,4,,,,4,4,5000,,2,,,,Quesadilla Especial Estandar 5 $0.00,Queso Oaxaca $0.00,
73000030,Burritos & Tortas Campus,31,0,0,Fernanda,,13:39:00 18-03-2025,13:47:00 18-03-2025,13:56:00 18-03-2025,,,,Entregada,Efectivo,180.4,4,,,,2,4,5058,,1,,,,Torta de Milanesa Estandar 5 $0.00,Aguacate $0.00,
73000031,Burritos & Tortas Campus,32,0,1,Miguel,,10:36:00 23-02-2025,10:43:00 23-02-2025,10:50:00 23-02-2025,,,,Entregada,Efectivo,202.65,4,,,,2,4,5050,,3,,,,Burrito Norteño Estandar 3 $0.00,Frijoles $0.00,
73000032,Burritos & Tortas Campus,33,0,0,Sofía,,22:10:00 07-02-2025,22:16:00 07-02-2025,22:25:00 07-02-2025,,,,Entregada,Tarjeta,203.77,4,,,,1,4,5048,,3,,,,Taco al Pastor Estandar 5 $0.00,Piña $0.00,
73000033,Burritos & Tortas Campus,34,0,0,Fernanda,,13:41:00 21-02-2025,13:44:00 21-02-2025,13:48:00 21-02-2025,,,,Entregada,Efectivo,268.34,5,,,,4,4,5026,,2,,,,Torta Cubana Estandar 1 $0.00,Jamón $0.00,
73000034,Burritos & Tortas Campus,35,0,0,Miguel,,17:43:00 18-02-2025,17:50:00 18-02-2025,17:54:00 18-02-2025,,,,Entregada,Efectivo,246.02,4,,,,3,4,5044,,3,,,,Burrito Norteño Estandar 1 $0.00,Frijoles $0.00,
73000035,Burritos & Tortas Campus,36,0,0,Fernanda,,10:02:00 23-03-2025,10:11:00 23-03-2025,10:18:00 23-03-2025,,,,Entregada,App,289.68,3,,,,3,4,5027,,3,,,,Torta Cubana Estandar 4 $0.00,Jamón $0.00,
73000036,Burritos & Tortas Campus,37,0,0,Fernanda,,20:50:00 09-02-2025,20:54:00 09-02-2025,21:00:00 09-02-2025,,,,Entregada,Efectivo,133.56,4,,,,1,4,5000,,2,,,,Taco al Pastor Estandar 4 $0.00,Piña $0.00,
73000037,Burritos & Tortas Campus,38,0,0,Sofía,,15:35:00 01-02-2025,15:43:00 01-02-2025,15:49:00 01-02-2025,,,,Entregada,App,239.33,3,,,,2,4,5006,,2,,,,Burrito de Pollo Estandar 3 $0.00,Guacamole $0.00,
73000038,Burritos & Tortas Campus,39,0,0,Fernanda,,17:43:00 01-02-2025,17:50:00 01-02-2025,18:02:00 01-02-2025,,,,Entregada,Tarjeta,193.6,5,,,,4,4,5014,,1,,,,Gringa Pastor Estandar 1 $0.00,Piña $0.00,
73000039,Burritos & Tortas Campus,40,0,0,Miguel,,14:20:00 06-02-2025,14:28:00 06-02-2025,14:36:00 06-02-2025,,,,Entregada,Tarjeta,93.31,5,,,,3,4,5050,,2,,,,Taco al Pastor Estandar 4 $0.00,Piña $0.00,
73000040,Burritos & Tortas Campus,41,0,0,Miguel,,15:05:00 20-03-2025,15:14:00 20-03-2025,15:30:00 20-03-2025,,,,Entregada,App,136.91,3,,,,4,4,5069,,2,,,,Torta de Milanesa Estandar 3 $0.00,Aguacate $0.00,
73000041,Burritos & Tortas Campus,42,0,1,Miguel,,14:56:00 17-02-2025,15:05:00 17-02-2025,15:12:00 17-02-2025,,,,Entregada,Tarjeta,80.96,4,,,,4,4,5011,,3,,,,Quesadilla Especial Estandar 1 $0.00,Queso Oaxaca $0.00,
73000042,Burritos & Tortas Campus,43,0,0,Miguel,,19:08:00 13-03-2025,19:16:00 13-03-2025,19:22:00 13-03-2025,,,,Entregada,Tarjeta,292.6,5,,,,3,4,5002,,2,,,,Taco de Bistec Estandar 1 $0.00,Cebolla $0.00,
73000043,Burritos & Tortas Campus,44,0,0,Sofía,,16:14:00 14-02-2025,16:19:00 14-02-2025,16:24:00 14-02-2025,,,,Entregada,Tarjeta,301.77,4,,,,1,4,5031,,3,,,,Torta Cubana Estandar 5 $0.00,Jamón $0.00,
73000044,Burritos & Tortas Campus,45,0,1,Fernanda,,12:02:00 21-03-2025,12:06:00 21-03-2025,12:19:00 21-03-2025,,,,Entregada,Efectivo,142.04,5,,,,3,4,5018,,1,,,,Taco de Bistec Estandar 4 $0.00,Cebolla $0.00,
73000045,Burritos & Tortas Campus,46,0,0,Diego,,15:20:00 19-03-2025,15:25:00 19-03-2025,15:37:00 19-03-2025,,,,Entregada,Tarjeta,260.77,4,,,,1,4,5042,,1,,,,Burrito de Pollo Estandar 2 $0.00,Guacamole $0.00,
73000046,Burritos & Tortas Campus,47,0,0,Miguel,,22:16:00 19-03-2025,22:26:00 19-03-2025,22:30:00 19-03-2025,,,,Entregada,Efectivo,283.74,4,,,,2,4,5078,,3,,,,Quesadilla Especial Estandar 3 $0.00,Queso Oaxaca $0.00,
73000047,Burritos & Tortas Campus,48,0,0,Fernanda,,20:23:00 14-03-2025,20:28:00 14-03-2025,20:41:00 14-03-2025,,,,Entregada,Efectivo,148.55,5,,,,4,4,5046,,2,,,,Torta de Milanesa Estandar 2 $0.00,Aguacate $0.00,
73000048,Burritos & Tortas Campus,49,0,0,Sofía,,12:55:00 19-02-2025,13:05:00 19-02-2025,13:14:00 19-02-2025,,,,Entregada,Efectivo,319.74,5,,,,2,4,5068,,2,,,,Quesadilla Especial Estandar 2 $0.00,Queso Oaxaca $0.00,
73000049,Burritos & Tortas Campus,50,0,1,Fernanda,,22:34:00 13-03-2025,22:44:00 13-03-2025,23:00:00 13-03-2025,,,,Entregada,Tarjeta,248.62,4,,,,3,4,5085,,3,,,,Taco al Pastor Estandar 2 $0.00,Piña $0.00,
73000050,Burritos & Tortas Campus,51,0,0,Fernanda,,16:07:00 21-02-2025,16:16:00 21-02-2025,16:31:00 21-02-2025,,,,Entregada,App,93.46,3,,,,1,4,5066,,1,,,,Burrito de Pollo Estandar 4 $0.00,Guacamole $0.00,
73000051,Burritos & Tortas Campus,52,0,1,Sofía,,22:18:00 04-03-2025,22:24:00 04-03-2025,22:39:00 04-03-2025,,,,Entregada,Efectivo,159.66,3,,,,4,4,5059,,2,,,,Torta de Milanesa Estandar 3 $0.00,Aguacate $0.00,
73000052,Burritos & Tortas Campus,53,0,1,Miguel,,20:31:00 01-03-2025,20:37:00 01-03-2025,20:48:00 01-03-2025,,,,Entregada,App,99.57,3,,,,1,4,5007,,2,,,,Gringa Pastor Estandar 5 $0.00,Piña $0.00,
73000053,Burritos & Tortas Campus,54,0,0,Diego,,15:38:00 20-02-2025,15:48:00 20-02-2025,16:05:00 20-02-2025,,,,Entregada,Tarjeta,204.53,5,,,,2,4,5021,,2,,,,Burrito de Pollo Estandar 4 $0.00,Guacamole $0.00,
73000054,Burritos & Tortas Campus,55,0,1,Diego,,21:28:00 08-03-2025,21:33:00 08-03-2025,21:47:00 08-03-2025,,,,Entregada,Efectivo,118.32,4,,,,2,4,5099,,1,,,,Gringa Pastor Estandar 3 $0.00,Piña $0.00,
73000055,Burritos & Tortas Campus,56,0,1,Sofía,,14:14:00 19-02-2025,14:22:00 19-02-2025,14:33:00 19-02-2025,,,,Entregada,App,309.23,4,,,,2,4,5049,,2,,,,Burrito Norteño Estandar 2 $0.00,Frijoles $0.00,
73000056,Burritos & Tortas Campus,57,0,0,Miguel,,20:16:00 08-03-2025,20:23:00 08-03-2025,20:37:00 08-03-2025,,,,Entregada,App,308.91,4,,,,1,4,5037,,1,,,,Gringa Pastor Estandar 2 $0.00,Piña $0.00,
73000057,Burritos & Tortas Campus,58,0,1,Diego,,10:10:00 07-03-2025,10:13:00 07-03-2025,10:20:00 07-03-2025,,,,Entregada,Tarjeta,217.17,4,,,,4,4,5086,,3,,,,Taco de Bistec Estandar 2 $0.00,Cebolla $0.00,
73000058,Burritos & Tortas Campus,59,0,0,Diego,,21:34:00 06-02-2025,21:43:00 06-02-2025,21:50:00 06-02-2025,,,,Entregada,App,183.68,5,,,,3,4,5097,,2,,,,Burrito Norteño Estandar 4 $0.00,Frijoles $0.00,
73000059,Burritos & Tortas Campus,60,0,0,Miguel,,14:44:00 17-02-2025,14:48:00 17-02-2025,15:06:00 17-02-2025,,,,Entregada,Efectivo,186.36,4,,,,1,4,5021,,1,,,,Torta de Milanesa Estandar 1 $0.00,Aguacate $0.00,
73000060,Burritos & Tortas Campus,61,0,1,Diego,,11:36:00 09-02-2025,11:44:00 09-02-2025,11:48:00 09-02-2025,,,,Entregada,Efectivo,292.15,3,,,,1,4,5014,,3,,,,Taco de Bistec Estandar 1 $0.00,Cebolla $0.00,
73000061,Burritos & Tortas Campus,62,0,1,Diego,,12:37:00 22-02-2025,12:42:00 22-02-2025,12:47:00 22-02-2025,,,,Entregada,Efectivo,205.22,4,,,,2,4,5012,,2,,,,Torta Cubana Estandar 2 $0.00,Jamón $0.00,
73000062,Burritos & Tortas Campus,63,0,0,Diego,,21:24:00 24-02-2025,21:34:00 24-02-2025,21:51:00 24-02-2025,,,,Entregada,App,114.97,4,,,,3,4,5005,,3,,,,Taco de Bistec Estandar 2 $0.00,Cebolla $0.00,
73000063,Burritos & Tortas Campus,64,0,0,Miguel,,14:24:00 13-03-2025,14:34:00 13-03-2025,14:43:00 13-03-2025,,,,Entregada,Tarjeta,199.63,3,,,,2,4,5059,,2,,,,Torta Cubana Estandar 3 $0.00,Jamón $0.00,
73000064,Burritos & Tortas Campus,65,0,0,Fernanda,,13:37:00 14-03-2025,13:44:00 14-03-2025,14:00:00 14-03-2025,,,,Entregada,Tarjeta,282.93,5,,,,3,4,5075,,2,,,,Gringa Pastor Estandar 3 $0.00,Piña $0.00,
73000065,Burritos & Tortas Campus,66,0,1,Fernanda,,19:51:00 07-02-2025,19:57:00 07-02-2025,20:11:00 07-02-2025,,,,Entregada,App,204.93,5,,,,1,4,5016,,1,,,,Torta de Milanesa Estandar 1 $0.00,Aguacate $0.00,
73000066,Burritos & Tortas Campus,67,0,1,Diego,,10:35:00 17-03-2025,10:39:00 17-03-2025,10:57:00 17-03-2025,,,,Entregada,Efectivo,171.77,5,,,,1,4,5057,,3,,,,Gringa Pastor Estandar 4 $0.00,Piña $0.00,
73000067,Burritos & Tortas Campus,68,0,1,Sofía,,13:40:00 24-02-2025,13:43:00 24-02-2025,13:56:00 24-02-2025,,,,Entregada,App,251.09,4,,,,2,4,5065,,1,,,,Torta Cubana Estandar 2 $0.00,Jamón $0.00,
73000068,Burritos & Tortas Campus,69,0,1,Miguel,,20:23:00 12-02-2025,20:27:00 12-02-2025,20:43:00 12-02-2025,,,,Entregada,Tarjeta,186.67,4,,,,1,4,5100,,2,,,,Gringa Pastor Estandar 1 $0.00,Piña $0.00,
73000069,Burritos & Tortas Campus,70,0,1,Miguel,,21:44:00 11-02-2025,21:51:00 11-02-2025,22:02:00 11-02-2025,,,,Entregada,App,99.44,4,,,,4,4,5069,,3,,,,Torta Cubana Estandar 5 $0.00,Jamón $0.00,
73000070,Burritos & Tortas Campus,71,0,0,Diego,,22:21:00 02-03-2025,22:26:00 02-03-2025,22:41:00 02-03-2025,,,,Entregada,Tarjeta,145.68,5,,,,3,4,5078,,1,,,,Quesadilla Especial Estandar 5 $0.00,Queso Oaxaca $0.00,
73000071,Burritos & Tortas Campus,72,0,0,Miguel,,12:17:00 09-02-2025,12:26:00 09-02-2025,12:30:00 09-02-2025,,,,Entregada,App,256.7,3,,,,3,4,5031,,2,,,,Quesadilla Especial Estandar 3 $0.00,Queso Oaxaca $0.00,
73000072,Burritos & Tortas Campus,73,0,0,Sofía,,19:22:00 05-02-2025,19:27:00 05-02-2025,19:44:00 05-02-2025,,,,Entregada,App,282.59,4,,,,3,4,5045,,3,,,,Gringa Pastor Estandar 4 $0.00,Piña $0.00,
73000073,Burritos & Tortas Campus,74,0,0,Fernanda,,20:52:00 03-03-2025,20:57:00 03-03-2025,21:02:00 03-03-2025,,,,Entregada,Tarjeta,300.49,5,,,,4,4,5004,,2,,,,Burrito Norteño Estandar 1 $0.00,Frijoles $0.00,
73000074,Burritos & Tortas Campus,75,0,0,Sofía,,20:50:00 15-02-2025,20:54:00 15-02-2025,21:06:00 15-02-2025,,,,Entregada,App,87.81,4,,,,3,4,5035,,1,,,,Taco de Bistec Estandar 2 $0.00,Cebolla $0.00,
73000075,Burritos & Tortas Campus,76,0,1,Miguel,,15:43:00 14-03-2025,15:51:00 14-03-2025,16:08:00 14-03-2025,,,,Entregada,Tarjeta,72.65,3,,,,4,4,5074,,2,,,,Taco de Bistec Estandar 3 $0.00,Cebolla $0.00,
73000076,Burritos & Tortas Campus,77,0,0,Miguel,,21:07:00 28-02-2025,21:12:00 28-02-2025,21:18:00 28-02-2025,,,,Entregada,App,275.22,3,,,,2,4,5025,,2,,,,Taco al Pastor Estandar 3 $0.00,Piña $0.00,
73000077,Burritos & Tortas Campus,78,0,1,Miguel,,17:14:00 06-02-2025,17:24:00 06-02-2025,17:37:00 06-02-2025,,,,Entregada,Efectivo,219.21,4,,,,4,4,5013,,1,,,,Taco al Pastor Estandar 5 $0.00,Piña $0.00,
73000078,Burritos & Tortas Campus,79,0,1,Fernanda,,18:30:00 23-02-2025,18:33:00 23-02-2025,18:49:00 23-02-2025,,,,Entregada,Tarjeta,258.47,5,,,,4,4,5098,,1,,,,Taco al Pastor Estandar 2 $0.00,Piña $0.00,
73000079,Burritos & Tortas Campus,80,0,0,Diego,,17:37:00 20-02-2025,17:42:00 20-02-2025,17:59:00 20-02-2025,,,,Entregada,App,138.47,4,,,,4,4,5043,,2,,,,Taco al Pastor Estandar 1 $0.00,Piña $0.00,
73000080,Burritos & Tortas Campus,81,0,0,Diego,,22:21:00 01-02-2025,22:26:00 01-02-2025,22:39:00 01-02-2025,,,,Entregada,Tarjeta,241.25,4,,,,3,4,5095,,1,,,,Burrito Norteño Estandar 5 $0.00,Frijoles $0.00,
73000081,Burritos & Tortas Campus,82,0,0,Fernanda,,13:26:00 15-02-2025,13:29:00 15-02-2025,13:34:00 15-02-2025,,,,Entregada,Efectivo,189.66,5,,,,4,4,5075,,1,,,,Gringa Pastor Estandar 3 $0.00,Piña $0.00,
73000082,Burritos & Tortas Campus,83,0,1,Miguel,,20:30:00 13-02-2025,20:36:00 13-02-2025,20:43:00 13-02-2025,,,,Entregada,App,126.0,3,,,,1,4,5044,,3,,,,Gringa Pastor Estandar 4 $0.00,Piña $0.00,
73000083,Burritos & Tortas Campus,84,0,1,Miguel,,22:57:00 12-02-2025,23:05:00 12-02-2025,23:14:00 12-02-2025,,,,Entregada,App,111.11,4,,,,1,4,5084,,2,,,,Gringa Pastor Estandar 2 $0.00,Piña $0.00,
73000084,Burritos & Tortas Campus,85,0,0,Sofía,,10:26:00 03-03-2025,10:31:00 03-03-2025,10:41:00 03-03-2025,,,,Entregada,Tarjeta,169.67,5,,,,2,4,5037,,2,,,,Taco de Bistec Estandar 2 $0.00,Cebolla $0.00,
73000085,Burritos & Tortas Campus,86,0,0,Fernanda,,10:12:00 11-03-2025,10:16:00 11-03-2025,10:27:00 11-03-2025,,,,Entregada,Tarjeta,248.07,5,,,,1,4,5038,,3,,,,Torta de Milanesa Estandar 2 $0.00,Aguacate $0.00,
73000086,Burritos & Tortas Campus,87,0,1,Miguel,,12:23:00 02-03-2025,12:26:00 02-03-2025,12:36:00 02-03-2025,,,,Entregada,Tarjeta,241.8,5,,,,4,4,5060,,1,,,,Torta de Milanesa Estandar 4 $0.00,Aguacate $0.00,
73000087,Burritos & Tortas Campus,88,0,1,Diego,,18:44:00 18-02-2025,18:52:00 18-02-2025,19:07:00 18-02-2025,,,,Entregada,App,192.14,4,,,,4,4,5023,,3,,,,Taco de Bistec Estandar 4 $0.00,Cebolla $0.00,
73000088,Burritos & Tortas Campus,89,0,1,Fernanda,,14:41:00 10-03-2025,14:49:00 10-03-2025,14:56:00 10-03-2025,,,,Entregada,App,177.87,4,,,,4,4,5061,,3,,,,Burrito Norteño Estandar 4 $0.00,Frijoles $0.00,
73000089,Burritos & Tortas Campus,90,0,1,Fernanda,,17:52:00 05-02-2025,17:56:00 05-02-2025,18:03:00 05-02-2025,,,,Entregada,Efectivo,314.88,5,,,,2,4,5086,,3,,,,Burrito Norteño Estandar 1 $0.00,Frijoles $0.00,
73000090,Burritos & Tortas Campus,91,0,0,Sofía,,20:47:00 11-03-2025,20:53:00 11-03-2025,21:07:00 11-03-2025,,,,Entregada,Tarjeta,104.55,5,,,,4,4,5083,,2,,,,Burrito Norteño Estandar 2 $0.00,Frijoles $0.00,
73000091,Burritos & Tortas Campus,92,0,1,Miguel,,20:47:00 10-02-2025,20:51:00 10-02-2025,21:00:00 10-02-2025,,,,Entregada,App,93.33,4,,,,1,4,5087,,2,,,,Burrito de Pollo Estandar 5 $0.00,Guacamole $0.00,
73000092,Burritos & Tortas Campus,93,0,1,Diego,,18:26:00 07-03-2025,18:34:00 07-03-2025,18:52:00 07-03-2025,,,,Entregada,Efectivo,188.31,5,,,,4,4,5088,,1,,,,Taco de Bistec Estandar 1 $0.00,Cebolla $0.00,
73000093,Burritos & Tortas Campus,94,0,0,Diego,,12:48:00 01-02-2025,12:55:00 01-02-2025,12:59:00 01-02-2025,,,,Entregada,App,251.45,5,,,,4,4,5062,,1,,,,Taco al Pastor Estandar 3 $0.00,Piña $0.00,
73000094,Burritos & Tortas Campus,95,0,0,Diego,,14:55:00 18-03-2025,14:58:00 18-03-2025,15:06:00 18-03-2025,,,,Entregada,Efectivo,197.08,4,,,,4,4,5086,,2,,,,Quesadilla Especial Estandar 3 $0.00,Queso Oaxaca $0.00,
73000095,Burritos & Tortas Campus,96,0,1,Sofía,,19:44:00 03-03-2025,19:51:00 03-03-2025,20:01:00 03-03-2025,,,,Entregada,App,266.83,4,,,,1,4,5039,,3,,,,Taco al Pastor Estandar 5 $0.00,Piña $0.00,
73000096,Burritos & Tortas Campus,97,0,1,Fernanda,,17:33:00 06-02-2025,17:36:00 06-02-2025,17:49:00 06-02-2025,,,,Entregada,Tarjeta,285.17,5,,,,1,4,5098,,3,,,,Burrito de Pollo Estandar 2 $0.00,Guacamole $0.00,
73000097,Burritos & Tortas Campus,98,0,1,Miguel,,15:58:00 23-03-2025,16:08:00 23-03-2025,16:18:00 23-03-2025,,,,Entregada,Efectivo,227.83,5,,,,2,4,5023,,3,,,,Torta Cubana Estandar 5 $0.00,Jamón $0.00,
73000098,Burritos & Tortas Campus,99,0,0,Miguel,,10:14:00 05-03-2025,10:22:00 05-03-2025,10:31:00 05-03-2025,,,,Entregada,App,269.66,5,,,,3,4,5012,,1,,,,Taco al Pastor Estandar 5 $0.00,Piña $0.00,
73000099,Burritos & Tortas Campus,100,0,0,Sofía,,22:51:00 02-02-2025,22:57:00 02-02-2025,23:02:00 02-02-2025,,,,Entregada,Efectivo,228.86,3,,,,3,4,5038,,1,,,,Torta de Milanesa Estandar 3 $0.00,Aguacate $0.00,
73000100,Burritos & Tortas Campus,101,0,0,Miguel,,12:09:00 17-03-2025,12:18:00 17-03-2025,12:34:00 17-03-2025,,,,Entregada,App,78.76,5,,,,4,4,5014,,2,,,,Burrito Norteño Estandar 3 $0.00,Frijoles $0.00,
73000101,Burritos & Tortas Campus,102,0,1,Diego,,10:22:00 23-02-2025,10:32:00 23-02-2025,10:38:00 23-02-2025,,,,Entregada,Efectivo,85.45,3,,,,3,4,5062,,3,,,,Taco al Pastor Estandar 3 $0.00,Piña $0.00,
